球員,背號,PA,AVG,OBP,SLG,ISO,BABIP,BIP%,OPS+,RC,wOBA,BB%,BB/K,K%,PutAway%,隊伍
陳重廷,66,399,0.246,0.293,0.304,0.058,0.28,79.3,72.8,32.4,0.271,6.3,0.472,13.3,31.9,統一7-ELEVEn獅
陳鏞基,13,254,0.311,0.379,0.44,0.129,0.339,75.9,136.4,37.4,0.362,9.1,0.767,11.8,29.1,統一7-ELEVEn獅
陳重羽,65,272,0.268,0.312,0.358,0.089,0.339,71.9,93.4,27.1,0.299,5.1,0.25,20.6,38.6,統一7-ELEVEn獅
林岱安,31,126,0.271,0.347,0.308,0.037,0.315,74.2,90.2,11.4,0.304,9.5,0.667,14.3,29.0,統一7-ELEVEn獅
林益全,99,134,0.264,0.284,0.357,0.093,0.281,85.1,84.7,13.1,0.281,3.0,0.286,10.4,31.8,統一7-ELEVEn獅
許哲晏,10,256,0.234,0.298,0.311,0.077,0.288,72.2,76.2,20.1,0.277,7.0,0.391,18.0,41.4,統一7-ELEVEn獅
潘傑楷,35,389,0.281,0.373,0.372,0.091,0.328,69.4,115.8,45.8,0.339,12.3,0.774,15.9,33.9,統一7-ELEVEn獅
林祖傑,39,103,0.3,0.337,0.4,0.1,0.361,73.5,112.6,12.1,0.324,4.9,0.263,18.4,34.5,統一7-ELEVEn獅
胡金龍,51,113,0.349,0.381,0.406,0.057,0.385,85.0,127.6,16.5,0.351,5.3,0.545,9.7,26.8,統一7-ELEVEn獅
蘇智傑,32,207,0.286,0.338,0.354,0.068,0.349,73.4,100.2,23.0,0.311,6.8,0.368,18.4,39.6,統一7-ELEVEn獅
陳聖平,15,181,0.26,0.309,0.32,0.059,0.307,77.3,82.0,16.3,0.286,5.5,0.357,15.5,30.8,統一7-ELEVEn獅
黃韋盛,66,344,0.274,0.326,0.348,0.074,0.34,71.5,99.1,34.8,0.304,6.4,0.324,19.8,36.2,中信兄弟
王威晨,9,370,0.293,0.341,0.355,0.062,0.338,79.4,105.7,41.5,0.314,7.0,0.531,13.2,25.1,中信兄弟
許基宏,74,410,0.292,0.39,0.525,0.233,0.332,59.5,168.5,68.7,0.393,12.0,0.563,21.2,42.0,中信兄弟
陳俊秀,29,229,0.24,0.336,0.357,0.117,0.285,65.9,104.7,23.0,0.315,11.4,0.591,19.2,37.0,中信兄弟
曾頌恩,1,216,0.225,0.306,0.283,0.058,0.264,73.6,74.7,16.5,0.272,9.7,0.636,15.3,31.1,中信兄弟
江坤宇,90,455,0.272,0.357,0.317,0.045,0.305,76.0,100.1,40.1,0.312,7.0,0.627,11.2,28.5,中信兄弟
